,Aircraft,Type Of Traveller,Trip Verified,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
201,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
202,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
203,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
204,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
205,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
206,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
207,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
208,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
209,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
210,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
211,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
212,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
213,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
214,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
215,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
216,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
217,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
218,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
219,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
220,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
221,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
222,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
223,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
224,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
225,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
226,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
227,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
228,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
229,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
230,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
231,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
232,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
233,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
234,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
235,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
236,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
237,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
238,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
239,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
240,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
241,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
242,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
243,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
244,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
245,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
246,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
247,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
248,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
249,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
250,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
251,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
252,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
253,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
254,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
255,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
256,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
257,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
258,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
259,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
260,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
261,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
262,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
263,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
264,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
265,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
266,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
267,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
268,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
269,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
270,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
271,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
272,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
273,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
274,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
275,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
276,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
277,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
278,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
279,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
280,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
281,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
282,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
283,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
284,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
285,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
286,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
287,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
288,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
289,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
290,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
291,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
292,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
293,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
294,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
295,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
296,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
297,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
298,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
299,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
300,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
301,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
302,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
303,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
304,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
305,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
306,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
307,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
308,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
309,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
310,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
311,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
312,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
313,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
314,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
315,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
316,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
317,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
318,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
319,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
320,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
321,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
322,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
323,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
324,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
325,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
326,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
327,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
328,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
329,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
330,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
331,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
332,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
333,NA,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-12-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
334,A321-200 Neo,Business,Yes,Economy Class,Manila to Nagoya,2020-02-01,5.0,4.0,3.0,5.0,5.0,4,0.0,yes
335,NA,Solo Leisure,Yes,Economy Class,Manila to London,2020-02-01,4.0,5.0,5.0,5.0,5.0,5,0.0,yes
336,NA,Solo Leisure,Yes,Economy Class,Tokyo to Bali via Manila,2020-02-01,2.0,3.0,3.0,0.0,1.0,2,0.0,no
337,A322,Solo Leisure,Yes,Premium Economy,NA,2020-02-01,4.0,5.0,5.0,1.0,5.0,5,0.0,yes
338,A321,Family Leisure,Yes,Economy Class,Manila to Tokyo Narita,2020-01-01,4.0,5.0,4.0,2.0,3.0,4,0.0,yes
339,NA,Solo Leisure,Yes,Economy Class,Manila to Dammam,2019-07-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
340,A350-900,Solo Leisure,Yes,Business Class,Manila to Toronto,2019-08-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
341,NA,Solo Leisure,Yes,Economy Class,Auckland to Osaka via Manila,2020-01-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
342,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
343,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
344,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
345,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
346,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
347,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
348,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
349,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
350,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
351,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
352,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
353,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
354,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
355,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
356,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
357,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
358,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
359,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
360,NA,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-12-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
361,A321-200 Neo,Business,Yes,Economy Class,Manila to Nagoya,2020-02-01,5.0,4.0,3.0,5.0,5.0,4,0.0,yes
362,NA,Solo Leisure,Yes,Economy Class,Manila to London,2020-02-01,4.0,5.0,5.0,5.0,5.0,5,0.0,yes
363,NA,Solo Leisure,Yes,Economy Class,Tokyo to Bali via Manila,2020-02-01,2.0,3.0,3.0,0.0,1.0,2,0.0,no
364,A322,Solo Leisure,Yes,Premium Economy,NA,2020-02-01,4.0,5.0,5.0,1.0,5.0,5,0.0,yes
365,A321,Family Leisure,Yes,Economy Class,Manila to Tokyo Narita,2020-01-01,4.0,5.0,4.0,2.0,3.0,4,0.0,yes
366,NA,Solo Leisure,Yes,Economy Class,Manila to Dammam,2019-07-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
367,A350-900,Solo Leisure,Yes,Business Class,Manila to Toronto,2019-08-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
368,NA,Solo Leisure,Yes,Economy Class,Auckland to Osaka via Manila,2020-01-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
369,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
370,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
371,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
372,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
373,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
374,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
375,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
376,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
377,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
378,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
379,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
380,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
381,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
382,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
383,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
384,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
385,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
386,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
387,NA,Solo Leisure,Yes,Business Class,Bangkok to Manila,2022-05-01,2.0,5.0,4.0,1.0,1.0,1,1.0,no
388,NA,Family Leisure,Yes,Economy Class,Bangkok to San Francisco via Manila,2022-04-01,1.0,2.0,2.0,2.0,1.0,2,1.0,no
389,NA,Solo Leisure,Yes,Economy Class,Ho Chi Minh City to San Francisco via Manila,2022-05-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
390,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2022-04-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
391,NA,Solo Leisure,Yes,Economy Class,Dubai to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
392,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
393,NA,Family Leisure,Yes,Economy Class,Manila to Fukuoka,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
394,A321,Solo Leisure,No,Economy Class,Singapore to Manila,2022-03-01,1.0,3.0,2.0,0.0,1.0,1,0.0,no
395,NA,Family Leisure,Yes,Economy Class,Brisbane to Manila,2022-03-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
396,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
397,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
398,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
399,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
